codice_istat,Comune,Codice_Regione,Codice_Provincia,Nuclei_familiari_percettori_RDC_luglio_2020,Nuclei_familiari_percettori_PDC_luglio_2020,Individui_coinvolti_luglio_2020,Numero_componenti_per_famiglia,Numero_donne_per_famiglia,Numero_minori_<_18_anni_per_famiglia,Numero_anziani_>_75_anni_per_famiglia,Importo_medio_mensile,Dev.standard_importo_mensile,Uomini_residenti_al_1-1-2020,Donne_residenti_al_1-1-2020,Popolazione_residente_al_1-1-2020,Takeup,Takeup_donne
A001,abanoterme,5.0,28.0,110.0,29.0,279.0,2.007,1.108,0.36,0.158,407.892,229.579,9439.0,10388.0,19827.0,0.014,0.015
A004,abbadiacerreto,3.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.407,459.93,141.0,134.0,275.0,0.0,0.0
A005,abbadialariana,3.0,97.0,13.0,0.0,29.0,1.933,0.933,0.333,0.067,410.322,159.662,1553.0,1647.0,3200.0,0.009,0.009
A006,abbadiasansalvatore,9.0,52.0,48.0,15.0,113.0,1.794,0.905,0.381,0.175,391.099,257.102,2955.0,3284.0,6239.0,0.018,0.017
A007,abbasanta,20.0,95.0,58.0,5.0,124.0,1.968,1.016,0.317,0.063,470.902,236.896,1290.0,1309.0,2599.0,0.048,0.049
A008,abbateggio,13.0,68.0,6.0,0.0,15.0,2.5,1.167,0.833,0.0,775.238,258.21,188.0,175.0,363.0,0.041,0.04
A010,abbiategrasso,3.0,15.0,325.0,39.0,919.0,2.525,1.302,0.805,0.052,495.098,280.535,15865.0,16703.0,32568.0,0.028,0.028
A013,abriola,17.0,76.0,28.0,0.0,66.0,2.2,1.033,0.433,0.033,467.582,247.922,660.0,709.0,1369.0,0.048,0.044
A014,acate,19.0,88.0,177.0,7.0,473.0,2.571,1.397,0.81,0.016,521.36,233.562,5940.0,4958.0,10898.0,0.043,0.052
A015,accadia,16.0,71.0,40.0,0.0,88.0,2.095,0.976,0.31,0.024,512.17,243.368,1079.0,1174.0,2253.0,0.039,0.035
A016,acceglio,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,80.0,158.0,0.0,0.0
A017,accettura,17.0,77.0,32.0,0.0,69.0,1.971,0.971,0.457,0.086,444.161,227.465,852.0,870.0,1722.0,0.04,0.039
A018,acciano,13.0,66.0,5.0,0.0,10.0,2.0,0.8,0.6,0.0,581.756,105.446,164.0,146.0,310.0,0.032,0.027
A019,accumoli,12.0,57.0,8.0,5.0,19.0,1.462,0.615,0.154,0.231,401.669,217.362,303.0,273.0,576.0,0.033,0.029
A020,acerenza,17.0,76.0,33.0,0.0,70.0,2.059,0.853,0.382,0.0,486.141,189.643,1130.0,1133.0,2263.0,0.031,0.026
A022,cermes/tscherms,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,781.0,1549.0,0.0,0.0
A023,acerno,15.0,65.0,74.0,0.0,204.0,2.649,1.312,0.74,0.026,412.71,225.453,1313.0,1294.0,2607.0,0.078,0.078
A024,acerra,15.0,63.0,2873.0,141.0,9157.0,3.038,1.597,0.854,0.04,645.992,301.488,29061.0,29943.0,59004.0,0.155,0.161
A025,acibonaccorsi,19.0,87.0,92.0,13.0,263.0,2.505,1.352,0.59,0.124,552.514,287.565,1670.0,1851.0,3521.0,0.075,0.077
A026,acicastello,19.0,87.0,540.0,56.0,1279.0,2.146,1.159,0.461,0.064,560.81,278.534,8455.0,9207.0,17662.0,0.072,0.075
A027,acicatena,19.0,87.0,1094.0,78.0,3216.0,2.744,1.426,0.741,0.042,618.615,291.628,13708.0,14076.0,27784.0,0.116,0.119
A028,acireale,19.0,87.0,1867.0,156.0,5109.0,2.525,1.342,0.623,0.062,603.23,278.813,24814.0,26362.0,51176.0,0.1,0.103
A029,acisant'antonio,19.0,87.0,640.0,53.0,1829.0,2.639,1.391,0.675,0.042,626.983,296.883,8827.0,9001.0,17828.0,0.103,0.107
A032,acquafondata,12.0,60.0,16.0,0.0,39.0,2.167,0.889,0.444,0.111,531.163,196.968,138.0,126.0,264.0,0.148,0.127
A033,acquaformosa,18.0,78.0,42.0,0.0,116.0,2.578,1.267,0.711,0.044,454.208,231.704,525.0,532.0,1057.0,0.11,0.107
A034,acquafredda,3.0,17.0,4.0,0.0,14.0,2.8,1.6,0.6,0.2,349.864,142.493,718.0,786.0,1504.0,0.009,0.01
A035,acqualagna,11.0,41.0,31.0,0.0,63.0,1.909,0.97,0.424,0.121,427.64,229.628,2148.0,2173.0,4321.0,0.015,0.015
A038,acquanegrasulchiese,3.0,20.0,20.0,0.0,58.0,2.636,1.591,0.682,0.091,566.908,339.737,1399.0,1418.0,2817.0,0.021,0.025
A039,acquanegracremonese,3.0,19.0,7.0,0.0,16.0,2.0,0.875,0.125,0.125,340.435,199.151,563.0,590.0,1153.0,0.014,0.012
A040,acquapendente,12.0,56.0,70.0,8.0,161.0,2.064,1.115,0.397,0.051,433.527,244.83,2612.0,2757.0,5369.0,0.03,0.032
A041,acquappesa,18.0,78.0,72.0,15.0,187.0,2.149,1.149,0.517,0.103,443.794,249.471,869.0,896.0,1765.0,0.106,0.112
A042,acquaricadelcapo,0.0,0.0,59.0,6.0,165.0,2.538,1.308,0.615,0.123,540.172,222.157,0.0,0.0,0.0,0.0,0.0
A043,acquaro,18.0,102.0,40.0,0.0,83.0,2.075,0.95,0.5,0.025,459.54,166.79,955.0,1032.0,1987.0,0.042,0.037
A044,acquasantaterme,11.0,44.0,23.0,4.0,45.0,1.667,0.815,0.222,0.074,463.47,202.015,1324.0,1322.0,2646.0,0.017,0.017
A045,acquasparta,10.0,55.0,52.0,8.0,142.0,2.367,1.233,0.633,0.2,518.571,301.602,2210.0,2360.0,4570.0,0.031,0.031
A047,acquavivapicena,11.0,44.0,27.0,0.0,52.0,1.733,0.933,0.3,0.0,513.03,232.903,1818.0,1887.0,3705.0,0.014,0.015
A048,acquavivadellefonti,16.0,72.0,414.0,36.0,1110.0,2.467,1.287,0.553,0.06,546.402,275.163,9776.0,10413.0,20189.0,0.055,0.056
A049,acquavivaplatani,19.0,85.0,27.0,0.0,57.0,1.966,0.931,0.517,0.034,525.409,247.318,451.0,460.0,911.0,0.063,0.059
A050,acquavivacollecroce,14.0,70.0,13.0,0.0,26.0,1.857,0.857,0.429,0.0,458.187,202.027,306.0,299.0,605.0,0.043,0.04
A051,acquavivad'isernia,14.0,94.0,6.0,0.0,10.0,1.667,0.667,0.167,0.0,599.627,217.018,205.0,194.0,399.0,0.025,0.021
A052,acquiterme,1.0,6.0,342.0,62.0,887.0,2.196,1.191,0.507,0.121,494.511,283.893,9252.0,10593.0,19845.0,0.045,0.045
A053,acri,18.0,78.0,383.0,49.0,933.0,2.16,1.183,0.553,0.081,466.006,235.751,9650.0,10287.0,19937.0,0.047,0.05
A054,acuto,12.0,60.0,45.0,5.0,91.0,1.82,0.92,0.34,0.04,452.627,227.753,923.0,948.0,1871.0,0.049,0.049
A055,adelfia,16.0,72.0,378.0,42.0,1011.0,2.407,1.286,0.564,0.057,544.532,276.896,8173.0,8486.0,16659.0,0.061,0.064
A056,adrano,19.0,87.0,1495.0,124.0,4442.0,2.744,1.471,0.786,0.057,536.978,268.26,16433.0,17574.0,34007.0,0.131,0.136
A057,adrarasanmartino,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.8,249.441,1145.0,1040.0,2185.0,0.0,0.0
A058,adrarasanrocco,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.445,225.758,417.0,392.0,809.0,0.0,0.0
A059,adria,5.0,29.0,182.0,27.0,444.0,2.124,1.077,0.483,0.11,460.261,276.124,9235.0,9780.0,19015.0,0.023,0.023
A060,adro,3.0,17.0,41.0,7.0,102.0,2.125,1.229,0.583,0.104,433.971,245.904,3577.0,3618.0,7195.0,0.014,0.016
A061,affi,5.0,23.0,7.0,0.0,17.0,2.125,1.25,0.75,0.125,444.286,294.841,1154.0,1211.0,2365.0,0.007,0.008
A062,affile,12.0,58.0,20.0,6.0,46.0,1.769,1.115,0.308,0.269,398.977,247.149,727.0,737.0,1464.0,0.031,0.039
A064,afragola,15.0,63.0,4414.0,303.0,14796.0,3.137,1.617,0.868,0.042,643.771,294.846,30886.0,31922.0,62808.0,0.236,0.239
A065,africo,18.0,80.0,45.0,0.0,132.0,2.809,1.383,0.957,0.0,433.952,230.027,1473.0,1438.0,2911.0,0.045,0.045
A067,agazzano,8.0,33.0,4.0,0.0,21.0,3.0,1.286,0.857,0.143,493.239,213.744,974.0,1025.0,1999.0,0.011,0.009
A068,agerola,15.0,63.0,58.0,14.0,157.0,2.181,1.194,0.542,0.097,476.154,266.656,3796.0,3895.0,7691.0,0.02,0.022
A069,aggius,20.0,90.0,18.0,0.0,49.0,2.333,1.095,0.476,0.048,497.848,274.604,681.0,759.0,1440.0,0.034,0.03
A070,agira,19.0,86.0,323.0,34.0,770.0,2.157,1.048,0.521,0.076,525.593,252.105,3894.0,4022.0,7916.0,0.097,0.093
A071,agliana,9.0,47.0,130.0,29.0,373.0,2.346,1.308,0.56,0.138,481.515,294.715,8934.0,9166.0,18100.0,0.021,0.023
A072,aglianoterme,1.0,5.0,13.0,0.0,26.0,1.857,0.714,0.214,0.143,462.695,206.045,797.0,781.0,1578.0,0.016,0.013
A074,agliè,1.0,1.0,27.0,0.0,63.0,2.1,1.1,0.667,0.033,571.269,325.067,1229.0,1392.0,2621.0,0.024,0.024
A075,agna,5.0,28.0,12.0,6.0,32.0,1.778,0.944,0.333,0.444,379.502,297.972,1598.0,1629.0,3227.0,0.01,0.01
A076,agnadello,3.0,19.0,14.0,0.0,40.0,2.5,1.125,0.75,0.0,534.52,264.716,1962.0,1923.0,3885.0,0.01,0.009
A077,agnanacalabra,18.0,80.0,13.0,5.0,34.0,1.889,0.944,0.278,0.111,390.162,240.26,259.0,237.0,496.0,0.069,0.072
A080,agnone,14.0,94.0,53.0,0.0,98.0,1.75,0.893,0.321,0.018,445.339,210.058,2462.0,2504.0,4966.0,0.02,0.02
A081,villalatina,12.0,60.0,45.0,4.0,111.0,2.265,1.224,0.612,0.082,569.833,282.544,585.0,599.0,1184.0,0.094,0.1
A082,agnosine,3.0,17.0,9.0,0.0,13.0,1.444,0.444,0.111,0.0,454.47,184.584,864.0,807.0,1671.0,0.008,0.005
A083,agordo,5.0,25.0,7.0,0.0,11.0,1.375,0.75,0.125,0.125,511.929,174.358,1938.0,2155.0,4093.0,0.003,0.003
A084,agosta,12.0,58.0,34.0,0.0,88.0,2.378,1.027,0.568,0.162,515.202,250.196,841.0,876.0,1717.0,0.051,0.043
A085,agra,3.0,12.0,6.0,0.0,8.0,1.333,0.333,0.167,0.0,461.913,243.25,205.0,190.0,395.0,0.02,0.011
A087,agratebrianza,3.0,108.0,77.0,8.0,176.0,2.071,1.035,0.612,0.059,462.944,255.725,7491.0,7753.0,15244.0,0.012,0.011
A088,agrateconturbia,1.0,3.0,10.0,0.0,24.0,2.4,1.0,0.7,0.0,524.74,204.755,801.0,762.0,1563.0,0.015,0.013
A089,agrigento,19.0,84.0,2306.0,229.0,6043.0,2.384,1.241,0.545,0.069,577.507,270.733,28305.0,29287.0,57592.0,0.105,0.107
A091,agropoli,15.0,65.0,797.0,98.0,1974.0,2.206,1.155,0.53,0.086,511.445,250.186,10677.0,11072.0,21749.0,0.091,0.093
A092,agugliano,11.0,42.0,27.0,5.0,63.0,1.969,1.062,0.438,0.062,477.348,249.232,2361.0,2449.0,4810.0,0.013,0.014
A093,agugliaro,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.99,273.365,706.0,681.0,1387.0,0.0,0.0
A094,ayas,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.0,692.0,1393.0,0.0,0.0
A096,aicurzio,3.0,108.0,10.0,0.0,19.0,1.727,0.818,0.182,0.0,475.534,303.162,1051.0,1054.0,2105.0,0.009,0.009
A097,aidomaggiore,20.0,95.0,12.0,0.0,25.0,2.083,1.25,0.333,0.083,424.742,213.995,188.0,225.0,413.0,0.061,0.067
A098,aidone,19.0,86.0,182.0,13.0,354.0,1.815,0.99,0.415,0.056,520.849,203.173,2286.0,2236.0,4522.0,0.078,0.086
A100,aielli,13.0,66.0,30.0,0.0,83.0,2.594,1.344,0.625,0.094,471.959,268.617,715.0,745.0,1460.0,0.057,0.058
A101,aiellodelsabato,15.0,64.0,68.0,5.0,196.0,2.685,1.315,0.671,0.027,530.711,296.314,1997.0,1993.0,3990.0,0.049,0.048
A102,aiellocalabro,18.0,78.0,62.0,7.0,158.0,2.29,1.043,0.493,0.087,508.751,217.849,769.0,809.0,1578.0,0.1,0.089
A103,aiellodelfriuli,6.0,30.0,5.0,0.0,15.0,2.143,1.0,0.571,0.429,408.891,239.915,1074.0,1129.0,2203.0,0.007,0.006
A105,aieta,18.0,78.0,29.0,0.0,76.0,2.452,1.387,0.613,0.065,543.356,235.463,371.0,377.0,748.0,0.102,0.114
A106,ailano,15.0,61.0,56.0,0.0,117.0,2.053,1.018,0.491,0.0,552.954,209.222,613.0,705.0,1318.0,0.089,0.082
A107,ailoche,1.0,96.0,5.0,0.0,10.0,2.0,1.2,0.2,0.0,441.914,232.742,145.0,178.0,323.0,0.031,0.034
A108,aymavilles,2.0,7.0,14.0,0.0,35.0,2.059,0.882,0.588,0.059,313.112,240.799,1023.0,1081.0,2104.0,0.017,0.014
A109,airasca,1.0,1.0,32.0,0.0,76.0,2.171,0.886,0.571,0.086,556.521,270.832,1820.0,1778.0,3598.0,0.021,0.017
A110,airola,15.0,62.0,195.0,20.0,565.0,2.628,1.433,0.772,0.056,534.546,280.44,4027.0,4149.0,8176.0,0.069,0.074
A111,airole,7.0,8.0,6.0,0.0,11.0,1.375,0.625,0.125,0.125,585.089,274.928,179.0,169.0,348.0,0.032,0.03
A112,airuno,3.0,97.0,13.0,0.0,32.0,2.133,1.333,0.667,0.067,479.37,372.865,1410.0,1373.0,2783.0,0.011,0.015
A113,aisone,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,109.0,219.0,0.0,0.0
A115,alàdeisardi,20.0,90.0,31.0,0.0,68.0,2.0,1.0,0.529,0.059,404.497,247.623,905.0,912.0,1817.0,0.037,0.037
A116,ala,4.0,22.0,59.0,0.0,212.0,3.419,1.839,1.355,0.097,433.362,251.384,4368.0,4339.0,8707.0,0.024,0.026
A117,aladistura,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,211.0,441.0,0.0,0.0
A118,alagna,3.0,18.0,10.0,0.0,20.0,2.0,1.1,0.4,0.0,575.554,163.57,412.0,400.0,812.0,0.025,0.028
A119,alagnavalsesia,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.092,141.55,381.0,349.0,730.0,0.0,0.0
A120,alanno,13.0,68.0,40.0,5.0,98.0,2.178,1.111,0.489,0.067,488.662,286.915,1646.0,1807.0,3453.0,0.028,0.028
A121,alanodipiave,5.0,25.0,22.0,0.0,58.0,2.32,1.0,0.64,0.0,443.382,272.953,1342.0,1395.0,2737.0,0.021,0.018
A122,alassio,7.0,9.0,112.0,26.0,284.0,2.058,1.007,0.529,0.123,501.648,258.233,4863.0,5675.0,10538.0,0.027,0.024
A123,alatri,12.0,60.0,514.0,30.0,1368.0,2.515,1.329,0.676,0.033,583.728,267.289,13584.0,14067.0,27651.0,0.049,0.051
A124,alba,1.0,4.0,237.0,51.0,592.0,2.056,1.097,0.514,0.101,465.467,270.015,14944.0,16572.0,31516.0,0.019,0.019
A125,albaadriatica,13.0,67.0,271.0,23.0,712.0,2.422,1.333,0.636,0.061,576.188,283.728,5855.0,6379.0,12234.0,0.058,0.061
A126,albagiara,20.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.505,264.49,120.0,131.0,251.0,0.0,0.0
A127,albairate,3.0,15.0,27.0,8.0,74.0,2.114,1.171,0.714,0.114,505.784,292.831,2333.0,2376.0,4709.0,0.016,0.017
A128,albanella,15.0,65.0,140.0,7.0,395.0,2.687,1.395,0.728,0.054,490.647,231.504,3150.0,3203.0,6353.0,0.062,0.064
A129,albanosant'alessandro,3.0,16.0,39.0,7.0,99.0,2.152,1.109,0.587,0.109,409.945,264.22,4163.0,4152.0,8315.0,0.012,0.012
A130,albanovercellese,1.0,2.0,8.0,4.0,18.0,1.5,0.417,0.083,0.25,360.558,262.281,153.0,152.0,305.0,0.059,0.033
A131,albanodilucania,17.0,76.0,14.0,0.0,29.0,1.933,0.6,0.467,0.067,466.61,233.27,706.0,670.0,1376.0,0.021,0.013
A132,albanolaziale,12.0,58.0,655.0,121.0,1659.0,2.138,1.18,0.535,0.088,503.713,268.436,19017.0,20594.0,39611.0,0.042,0.044
A134,albaredoarnaboldi,3.0,18.0,5.0,0.0,13.0,2.6,1.4,0.4,0.0,594.944,135.969,130.0,109.0,239.0,0.054,0.064
A135,albaredopersanmarco,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.475,180.871,156.0,130.0,286.0,0.0,0.0
A137,albaredod'adige,5.0,23.0,19.0,8.0,71.0,2.63,1.222,0.667,0.333,406.349,335.096,2626.0,2600.0,5226.0,0.014,0.013
A138,albareto,8.0,34.0,7.0,0.0,15.0,1.667,0.667,0.111,0.0,425.817,195.059,1053.0,1063.0,2116.0,0.007,0.006
A139,albarettodellatorre,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.725,129.959,116.0,116.0,232.0,0.0,0.0
A143,albavilla,3.0,13.0,34.0,4.0,64.0,1.684,0.816,0.342,0.0,435.651,204.363,3110.0,3263.0,6373.0,0.01,0.01
A145,albenga,7.0,9.0,340.0,50.0,869.0,2.228,1.082,0.541,0.1,449.134,276.218,11488.0,12036.0,23524.0,0.037,0.035
A146,alberaligure,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,298.664,161.0,133.0,294.0,0.0,0.0
A149,alberobello,16.0,72.0,128.0,14.0,279.0,1.965,0.993,0.366,0.077,527.565,273.415,5142.0,5453.0,10595.0,0.026,0.026
A150,alberona,16.0,71.0,26.0,0.0,52.0,1.857,0.821,0.143,0.0,478.102,206.909,433.0,461.0,894.0,0.058,0.05
A153,albeseconcassano,3.0,13.0,13.0,6.0,29.0,1.526,0.737,0.053,0.158,345.329,219.1,2024.0,2120.0,4144.0,0.007,0.007
A154,albettone,5.0,24.0,4.0,0.0,13.0,2.167,1.167,0.333,0.333,336.645,194.627,999.0,1011.0,2010.0,0.006,0.007
A155,albi,18.0,79.0,31.0,5.0,82.0,2.278,1.028,0.472,0.056,527.546,258.316,438.0,430.0,868.0,0.094,0.086
A157,albianod'ivrea,1.0,1.0,21.0,0.0,45.0,1.875,0.875,0.458,0.042,557.234,239.886,816.0,828.0,1644.0,0.027,0.025
A158,albiano,4.0,22.0,7.0,0.0,28.0,3.5,1.75,1.25,0.25,301.43,222.151,773.0,717.0,1490.0,0.019,0.02
A159,albiate,3.0,108.0,28.0,5.0,82.0,2.485,1.424,0.758,0.03,476.892,284.791,3080.0,3248.0,6328.0,0.013,0.014
A160,albidona,18.0,78.0,27.0,0.0,64.0,2.207,1.241,0.586,0.069,438.301,240.085,606.0,637.0,1243.0,0.051,0.057
A161,albignasego,5.0,28.0,107.0,25.0,245.0,1.856,1.068,0.371,0.106,439.55,228.355,12518.0,13356.0,25874.0,0.009,0.011
A162,albinea,8.0,35.0,26.0,4.0,55.0,1.833,0.967,0.4,0.0,457.972,221.908,4286.0,4554.0,8840.0,0.006,0.006
A163,albino,3.0,16.0,95.0,18.0,256.0,2.265,1.257,0.575,0.071,472.228,277.654,8750.0,9018.0,17768.0,0.014,0.016
A164,albiolo,3.0,13.0,12.0,0.0,30.0,2.308,0.923,0.538,0.077,506.468,296.596,1357.0,1332.0,2689.0,0.011,0.009
A165,albissolamarina,7.0,9.0,37.0,4.0,79.0,1.927,1.049,0.512,0.098,494.629,262.82,2496.0,2790.0,5286.0,0.015,0.015
A166,albisolasuperiore,7.0,9.0,89.0,19.0,202.0,1.87,1.037,0.398,0.139,491.818,278.779,4592.0,5208.0,9800.0,0.021,0.022
A167,albizzate,3.0,12.0,28.0,4.0,71.0,2.219,1.25,0.75,0.062,534.774,294.587,2540.0,2682.0,5222.0,0.014,0.015
A171,albonese,3.0,18.0,7.0,0.0,10.0,1.25,0.375,0.0,0.0,560.597,175.198,249.0,277.0,526.0,0.019,0.011
A172,albosaggia,3.0,14.0,12.0,0.0,22.0,1.833,0.833,0.25,0.0,456.426,208.419,1519.0,1482.0,3001.0,0.007,0.007
A173,albugnano,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.373,340.892,251.0,249.0,500.0,0.0,0.0
A175,albuzzano,3.0,18.0,31.0,4.0,61.0,1.743,0.886,0.4,0.0,540.903,271.716,1785.0,1800.0,3585.0,0.017,0.017
A176,alcamo,19.0,81.0,1189.0,125.0,3261.0,2.482,1.256,0.671,0.076,535.002,269.946,22158.0,22867.0,45025.0,0.072,0.072
A177,alcaralifusi,19.0,83.0,29.0,0.0,55.0,1.897,0.931,0.379,0.0,505.015,162.166,864.0,958.0,1822.0,0.03,0.028
A178,aldeno,4.0,22.0,9.0,0.0,24.0,2.0,1.333,0.25,0.167,363.443,229.552,1550.0,1620.0,3170.0,0.008,0.01
A179,aldino/aldein,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.0,817.0,1678.0,0.0,0.0
A180,ales,20.0,95.0,33.0,5.0,77.0,2.026,1.053,0.263,0.132,453.784,233.291,689.0,672.0,1361.0,0.057,0.06
A181,alessandriadellarocca,19.0,84.0,91.0,7.0,229.0,2.337,1.194,0.582,0.061,599.719,245.519,1291.0,1384.0,2675.0,0.086,0.085
A182,alessandria,1.0,6.0,1949.0,259.0,4602.0,2.084,1.099,0.486,0.084,510.117,278.551,44834.0,48042.0,92876.0,0.05,0.051
A183,alessandriadelcarretto,18.0,78.0,6.0,0.0,11.0,1.833,0.833,0.5,0.0,565.103,169.106,205.0,179.0,384.0,0.029,0.028
A184,alessano,16.0,75.0,120.0,10.0,310.0,2.385,1.185,0.523,0.085,529.877,255.164,3004.0,3249.0,6253.0,0.05,0.047
A185,alezio,16.0,75.0,162.0,11.0,419.0,2.422,1.197,0.618,0.064,533.832,274.749,2716.0,2960.0,5676.0,0.074,0.07
A186,alfano,15.0,65.0,21.0,4.0,58.0,2.32,1.04,0.52,0.04,440.068,210.049,461.0,491.0,952.0,0.061,0.053
A187,alfedena,13.0,66.0,17.0,6.0,33.0,1.435,0.696,0.174,0.174,469.252,191.977,505.0,417.0,922.0,0.036,0.038
A188,alfianello,3.0,17.0,8.0,0.0,21.0,2.1,1.0,0.6,0.3,301.587,217.732,1208.0,1198.0,2406.0,0.009,0.008
A189,alfianonatta,1.0,6.0,8.0,0.0,13.0,1.444,0.667,0.111,0.222,425.516,238.583,376.0,368.0,744.0,0.017,0.016
A191,alfonsine,8.0,39.0,63.0,17.0,160.0,2.0,1.05,0.462,0.125,470.147,289.203,5659.0,6048.0,11707.0,0.014,0.014
A192,alghero,20.0,90.0,1112.0,125.0,2327.0,1.881,0.982,0.402,0.078,501.234,244.149,20508.0,22072.0,42580.0,0.055,0.055
A193,algua,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.955,183.671,333.0,326.0,659.0,0.0,0.0
A194,alì,19.0,83.0,33.0,0.0,95.0,2.714,1.4,0.886,0.029,487.806,221.685,348.0,356.0,704.0,0.135,0.138
A195,alia,19.0,82.0,134.0,8.0,355.0,2.5,1.324,0.585,0.063,564.36,245.373,1655.0,1814.0,3469.0,0.102,0.104
A196,aliano,17.0,77.0,33.0,0.0,85.0,2.5,1.118,0.765,0.029,542.901,244.863,454.0,450.0,904.0,0.094,0.084
A197,alicebelcolle,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.52,519.851,393.0,337.0,730.0,0.0,0.0
A198,alicecastello,1.0,2.0,19.0,0.0,66.0,3.143,1.333,0.81,0.095,466.141,298.291,1283.0,1254.0,2537.0,0.026,0.022
A199,alicesuperiore,0.0,0.0,4.0,0.0,6.0,1.2,0.6,0.0,0.2,411.302,200.503,0.0,0.0,0.0,0.0,0.0
A200,alife,15.0,61.0,309.0,25.0,764.0,2.287,1.15,0.584,0.036,528.034,234.644,3716.0,3722.0,7438.0,0.103,0.103
A201,alìterme,19.0,83.0,63.0,4.0,143.0,2.134,1.179,0.328,0.045,534.913,241.871,1168.0,1245.0,2413.0,0.059,0.063
A202,alimena,19.0,82.0,61.0,0.0,117.0,1.828,0.875,0.328,0.047,551.044,176.779,894.0,1015.0,1909.0,0.061,0.055
A203,aliminusa,19.0,82.0,21.0,5.0,54.0,2.077,0.923,0.308,0.077,560.475,266.755,577.0,552.0,1129.0,0.048,0.043
A204,allai,20.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.574,144.011,181.0,169.0,350.0,0.0,0.0
A205,allein,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,104.0,210.0,0.0,0.0
A206,alleghe,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.96,306.941,562.0,606.0,1168.0,0.0,0.0
A207,allerona,10.0,55.0,6.0,0.0,14.0,2.333,1.333,0.333,0.0,409.42,335.656,849.0,875.0,1724.0,0.008,0.009
A208,alliste,16.0,75.0,220.0,8.0,501.0,2.197,1.171,0.579,0.022,492.302,214.712,3132.0,3401.0,6533.0,0.077,0.079
A210,allumiere,12.0,58.0,63.0,11.0,138.0,1.865,0.973,0.392,0.108,495.082,269.694,1927.0,1952.0,3879.0,0.036,0.037
A214,almè,3.0,16.0,26.0,9.0,71.0,2.029,1.086,0.486,0.143,444.995,268.096,2685.0,2848.0,5533.0,0.013,0.013
A215,villad'almè,3.0,16.0,21.0,0.0,47.0,1.958,1.042,0.417,0.042,442.08,153.436,3299.0,3362.0,6661.0,0.007,0.007
A216,almennosanbartolomeo,3.0,16.0,16.0,4.0,39.0,1.95,1.15,0.55,0.05,417.783,271.374,3156.0,3197.0,6353.0,0.006,0.007
A217,almennosansalvatore,3.0,16.0,18.0,0.0,45.0,2.25,1.15,0.65,0.1,526.576,242.404,2751.0,2909.0,5660.0,0.008,0.008
A218,almese,1.0,1.0,46.0,0.0,80.0,1.633,0.714,0.265,0.041,512.725,211.019,3152.0,3274.0,6426.0,0.012,0.011
A220,alonte,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.877,227.727,813.0,781.0,1594.0,0.0,0.0
A221,alpette,1.0,1.0,7.0,0.0,11.0,1.375,0.25,0.125,0.0,447.916,210.286,131.0,117.0,248.0,0.044,0.017
A222,alpignano,1.0,1.0,159.0,27.0,344.0,1.849,0.984,0.344,0.065,477.567,260.412,8391.0,8554.0,16945.0,0.02,0.021
A223,alseno,8.0,33.0,24.0,4.0,68.0,2.429,1.107,0.714,0.107,487.832,294.395,2288.0,2374.0,4662.0,0.015,0.013
A224,alserio,3.0,13.0,9.0,0.0,22.0,2.2,1.1,0.6,0.1,420.575,247.294,645.0,641.0,1286.0,0.017,0.017
A225,altamura,16.0,72.0,1018.0,127.0,2979.0,2.602,1.432,0.686,0.091,526.789,293.939,34331.0,35668.0,69999.0,0.043,0.046
A226,altare,7.0,9.0,22.0,4.0,43.0,1.654,0.731,0.346,0.115,516.495,218.637,991.0,1003.0,1994.0,0.022,0.019
A227,altavillamonferrato,1.0,6.0,5.0,0.0,11.0,1.833,0.833,0.667,0.167,434.643,205.608,229.0,194.0,423.0,0.026,0.026
