codice_istat,Comune,Codice_Regione,Codice_Provincia,Nuclei_familiari_percettori_RDC_luglio_2020,Nuclei_familiari_percettori_PDC_luglio_2020,Individui_coinvolti_luglio_2020,Numero_componenti_per_famiglia,Numero_donne_per_famiglia,Numero_minori_<_18_anni_per_famiglia,Numero_anziani_>_75_anni_per_famiglia,Importo_medio_mensile,Dev.standard_importo_mensile,Uomini_residenti_al_1-1-2020,Donne_residenti_al_1-1-2020,Popolazione_residente_al_1-1-2020,Takeup,Takeup_donne
g267,palazzoloacreide,19.0,89.0,236.0,17.0,575.0,2.273,1.091,0.553,0.036,536.336,250.252,4088.0,4328.0,8416.0,0.068,0.064
g268,palazzolodellostella,6.0,30.0,30.0,6.0,68.0,1.889,0.889,0.333,0.083,398.223,259.11,1429.0,1482.0,2911.0,0.023,0.022
g270,palazzuolosulsenio,9.0,48.0,14.0,0.0,26.0,1.529,0.471,0.235,0.118,485.793,272.541,575.0,550.0,1125.0,0.023,0.015
g271,palena,13.0,69.0,20.0,5.0,38.0,1.52,0.76,0.24,0.12,444.364,227.764,646.0,645.0,1291.0,0.029,0.029
g272,palermiti,18.0,79.0,70.0,8.0,161.0,2.064,0.962,0.333,0.013,523.554,229.945,541.0,598.0,1139.0,0.141,0.125
g273,palermo,19.0,82.0,34770.0,3421.0,108444.0,2.84,1.472,0.754,0.069,631.574,312.184,309030.0,338392.0,647422.0,0.168,0.166
g274,palestrina,12.0,58.0,463.0,44.0,1158.0,2.284,1.187,0.598,0.051,539.92,256.813,10831.0,11164.0,21995.0,0.053,0.054
g275,palestro,3.0,18.0,27.0,0.0,54.0,1.862,0.862,0.448,0.034,548.462,196.064,921.0,922.0,1843.0,0.029,0.027
g276,paliano,12.0,60.0,154.0,17.0,356.0,2.082,1.088,0.45,0.053,490.796,236.887,3971.0,4050.0,8021.0,0.044,0.046
g277,palizzi,18.0,80.0,68.0,4.0,172.0,2.389,1.194,0.583,0.042,540.666,251.185,1068.0,1133.0,2201.0,0.078,0.076
g278,pallagorio,18.0,101.0,29.0,0.0,66.0,2.062,1.062,0.344,0.188,432.437,175.526,515.0,546.0,1061.0,0.062,0.062
g280,pallanzeno,1.0,103.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,315.676,195.795,573.0,563.0,1136.0,0.0,0.0
g281,pallare,7.0,9.0,4.0,0.0,5.0,1.25,0.75,0.0,0.0,531.985,275.081,464.0,472.0,936.0,0.005,0.006
g282,palmadimontechiaro,19.0,84.0,602.0,68.0,1829.0,2.73,1.475,0.758,0.088,452.971,276.43,10284.0,11267.0,21551.0,0.085,0.088
g283,palmacampania,15.0,63.0,458.0,34.0,1371.0,2.787,1.427,0.734,0.041,562.714,294.941,8270.0,7737.0,16007.0,0.086,0.091
g284,palmanova,6.0,30.0,44.0,8.0,92.0,1.769,1.077,0.346,0.077,377.543,257.925,2622.0,2749.0,5371.0,0.017,0.02
g285,palmariggi,16.0,75.0,14.0,0.0,29.0,1.933,0.933,0.333,0.0,560.789,262.336,711.0,719.0,1430.0,0.02,0.019
g286,palmasarborea,20.0,95.0,18.0,0.0,53.0,2.789,1.526,1.0,0.0,581.217,234.074,743.0,755.0,1498.0,0.035,0.038
g287,sangiovannisuergiu,20.0,111.0,171.0,16.0,446.0,2.385,1.225,0.54,0.053,485.114,264.049,2898.0,2896.0,5794.0,0.077,0.079
g288,palmi,18.0,80.0,658.0,37.0,1721.0,2.476,1.273,0.623,0.029,540.25,257.195,8798.0,9372.0,18170.0,0.095,0.094
